Date,Open,High,Low,Close,Adj Close,Volume
2021-01-19,49.029999,49.790001,48.900002,49.689999,49.689999,257100
2021-01-20,49.970001,52.270000,49.790001,52.250000,52.250000,545400
2021-01-21,51.889999,53.240002,51.650002,52.549999,52.549999,299600
2021-01-22,51.959999,53.340000,50.529999,52.930000,52.930000,255400
2021-01-25,52.799999,54.270000,52.669998,54.209999,54.209999,358900
2021-01-26,54.450001,55.009998,53.939999,54.750000,54.750000,249100
2021-01-27,53.799999,56.419998,53.529999,55.160000,55.160000,412200
2021-01-28,55.320000,56.549999,54.139999,55.049999,55.049999,455800
2021-01-29,54.930000,56.119999,54.150002,54.610001,54.610001,286400
2021-02-01,55.020000,57.169998,55.020000,56.740002,56.740002,339800
2021-02-02,57.040001,59.189999,57.000000,58.900002,58.900002,636700
2021-02-03,58.790001,59.369999,57.840000,59.169998,59.169998,262800
2021-02-04,59.610001,61.400002,59.240002,60.400002,60.400002,271300
2021-02-05,61.049999,61.349998,59.939999,61.290001,61.290001,145200
2021-02-08,61.669998,62.820000,61.580002,62.509998,62.509998,343600
2021-02-09,62.330002,63.009998,61.970001,62.380001,62.380001,289900
2021-02-10,62.779999,62.869999,61.980000,62.500000,62.500000,228800
2021-02-11,62.950001,63.560001,61.450001,62.650002,62.650002,180300
2021-02-12,62.869999,63.439999,61.480000,61.560001,61.560001,193000
2021-02-16,61.490002,61.619999,60.130001,60.630001,60.630001,276500
2021-02-17,60.459999,60.470001,59.290001,60.290001,60.290001,303000
2021-02-18,60.049999,60.189999,58.209999,58.330002,58.330002,375100
2021-02-19,58.660000,59.900002,57.639999,59.320000,59.320000,872900
2021-02-22,58.779999,59.430000,57.919998,58.080002,58.080002,198600
2021-02-23,56.419998,57.529999,55.299999,57.189999,57.189999,310000
2021-02-24,56.820000,58.669998,56.099998,58.400002,58.400002,398000
2021-02-25,58.369999,59.070000,55.610001,56.110001,56.110001,357700
2021-02-26,57.330002,57.840000,54.779999,55.689999,55.689999,350600
2021-03-01,56.830002,58.540001,56.730000,58.150002,58.150002,285900
2021-03-02,58.020000,59.439999,56.700001,56.970001,56.970001,245300
2021-03-03,57.400002,57.790001,55.689999,56.090000,56.090000,307200
2021-03-04,55.880001,56.459999,54.259998,55.029999,55.029999,259500
2021-03-05,56.400002,56.720001,54.119999,56.570000,56.570000,375600
2021-03-08,56.880001,58.230000,55.660000,57.639999,57.639999,282700
2021-03-09,58.610001,59.450001,58.290001,58.349998,58.349998,254100
2021-03-10,58.630001,59.770000,58.529999,59.430000,59.430000,179800
2021-03-11,60.000000,60.919998,59.630001,60.520000,60.520000,347000
2021-03-12,60.310001,60.900002,59.910000,60.720001,60.720001,173800
2021-03-15,60.520000,61.630001,60.220001,61.400002,61.400002,137000
2021-03-16,61.380001,61.700001,61.000000,61.360001,61.360001,195400
2021-03-17,61.419998,62.200001,60.840000,62.110001,62.110001,154800
2021-03-18,61.400002,62.950001,60.880001,61.389999,61.389999,148900
2021-03-19,61.470001,62.540001,61.000000,61.660000,61.660000,351600
2021-03-22,61.759998,62.169998,61.230000,61.310001,61.310001,111600
2021-03-23,60.820000,61.700001,58.660000,59.099998,59.099998,210400
2021-03-24,59.520000,60.090000,57.860001,57.869999,57.869999,173600
2021-03-25,57.110001,58.950001,57.009998,58.580002,58.580002,152200
2021-03-26,58.959999,60.250000,58.349998,60.250000,60.250000,198600
2021-03-29,59.869999,61.029999,58.310001,58.529999,58.529999,206200
2021-03-30,57.939999,59.029999,57.279999,58.520000,58.520000,152400
2021-03-31,58.330002,59.459999,58.000000,58.720001,58.720001,268200
2021-04-01,59.240002,61.020000,59.130001,61.000000,61.000000,361900
2021-04-05,61.320000,61.790001,60.380001,61.380001,61.380001,141600
2021-04-06,61.330002,61.639999,60.740002,61.389999,61.389999,185100
2021-04-07,61.369999,66.139999,61.369999,62.430000,62.430000,806100
2021-04-08,62.560001,63.529999,59.200001,61.209999,61.209999,383400
2021-04-09,60.910000,62.919998,59.750000,62.830002,62.830002,164000
2021-04-12,62.500000,63.790001,62.139999,63.490002,63.490002,183000
2021-04-13,63.660000,63.889999,62.560001,63.560001,63.560001,282300
2021-04-14,63.919998,64.510002,63.540001,63.840000,63.840000,190700
2021-04-15,64.410004,65.190002,64.099998,65.080002,65.080002,134100
2021-04-16,65.589996,65.629997,64.360001,64.730003,64.730003,189300
2021-04-19,64.599998,65.050003,63.349998,63.830002,63.830002,158500
2021-04-20,63.430000,64.190002,62.330002,63.090000,63.090000,151500
2021-04-21,63.029999,63.970001,62.970001,63.759998,63.759998,125600
2021-04-22,63.849998,64.050003,62.910000,63.130001,63.130001,118900
2021-04-23,63.150002,64.980003,63.150002,64.190002,64.190002,182100
2021-04-26,64.199997,66.349998,63.450001,64.970001,64.970001,625700
2021-04-27,65.339996,65.970001,63.709999,64.029999,64.029999,195100
2021-04-28,63.860001,64.779999,63.650002,63.889999,63.889999,189400
2021-04-29,65.040001,65.489998,63.599998,65.139999,65.139999,1109100
2021-04-30,65.220001,65.870003,63.849998,65.610001,65.610001,382400
2021-05-03,65.959999,66.650002,65.050003,66.279999,66.279999,476800
2021-05-04,65.690002,67.360001,65.690002,67.190002,67.190002,311600
2021-05-05,67.199997,67.930000,65.860001,66.839996,66.839996,415500
2021-05-06,66.489998,67.550003,65.239998,67.500000,67.500000,410200
2021-05-07,67.190002,68.830002,66.760002,68.620003,68.620003,474800
2021-05-10,68.769997,68.989998,68.019997,68.309998,68.309998,252200
2021-05-11,66.849998,68.839996,66.360001,68.339996,68.339996,535200
2021-05-12,67.639999,68.889999,66.739998,68.480003,68.480003,597000
2021-05-13,68.589996,71.320000,66.919998,69.760002,69.760002,780600
2021-05-14,68.620003,70.769997,68.620003,70.599998,70.599998,264700
2021-05-17,70.559998,71.459999,70.250000,71.089996,71.089996,506500
2021-05-18,70.900002,71.769997,70.410004,70.410004,70.410004,415600
2021-05-19,69.360001,70.769997,69.010002,70.639999,70.639999,214300
2021-05-20,71.029999,73.669998,70.889999,72.870003,72.870003,363200
2021-05-21,73.580002,74.050003,73.029999,73.169998,73.169998,556000
2021-05-24,73.889999,74.180000,73.360001,73.800003,73.800003,353900
2021-05-25,74.019997,74.889999,73.050003,73.209999,73.209999,199600
2021-05-26,73.529999,74.160004,72.570000,72.849998,72.849998,217500
2021-05-27,73.360001,73.830002,71.699997,71.919998,71.919998,266700
2021-05-28,72.180000,72.550003,71.250000,71.589996,71.589996,291600
2021-06-01,72.550003,72.870003,71.129997,72.459999,72.459999,272100
2021-06-02,71.730003,73.050003,71.650002,72.360001,72.360001,234500
2021-06-03,72.010002,72.040001,71.150002,71.300003,71.300003,225700
2021-06-04,71.779999,73.739998,71.199997,73.529999,73.529999,312900
2021-06-07,73.769997,74.589996,72.760002,73.510002,73.510002,239300
2021-06-08,73.519997,74.900002,73.430000,74.870003,74.870003,287500
2021-06-09,75.000000,75.309998,73.930000,74.199997,74.199997,215500
2021-06-10,74.410004,76.000000,73.930000,75.959999,75.959999,789600
2021-06-11,76.410004,76.989998,75.199997,76.959999,76.959999,606900
2021-06-14,76.669998,77.199997,75.959999,76.779999,76.779999,356000
2021-06-15,77.070000,77.769997,76.739998,77.529999,77.529999,243500
2021-06-16,77.400002,78.349998,77.160004,78.070000,78.070000,369400
2021-06-17,78.050003,79.300003,78.029999,79.180000,79.180000,450000
2021-06-18,79.190002,80.269997,78.669998,79.760002,79.760002,457700
2021-06-21,80.250000,81.519997,79.750000,80.110001,80.110001,352800
2021-06-22,79.879997,80.559998,78.839996,80.550003,80.550003,373300
2021-06-23,80.839996,81.470001,80.330002,80.870003,80.870003,201300
2021-06-24,81.440002,82.510002,81.169998,82.129997,82.129997,246700
